date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:49	167399/167399	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2006:49:32%20GMT	https://goicuocviettel.xyz/?gad_source=1	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/indexa86a.html	(from )
13:49:49	116/116	---M-Z	200	added ('OK')	text/plain	date:Fri,%2003%20Jan%202025%2006:49:33%20GMT	https://goicuocviettel.xyz/robots.txt		(from )
13:49:50	645969/645969	---MCZ	200	added ('OK')	text/css	etag:W/%229db51-676e3862-97a226;br%22	https://goicuocviettel.xyz/wp-content/litespeed/css/370db1d6d1db25ca0d374de5e493d7da.css?ver=2b675	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/wp-content/litespeed/css/370db1d6d1db25ca0d374de5e493d7da261b.css	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:50	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2003%20Jan%202025%2006:49:34%20GMT	https://goicuocviettel.xyz/xmlrpc.php	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/xmlrpc.php	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:50	376272/376272	---M-Z	200	added ('OK')	application/rss+xml	etag:%2281e1713ccdb19d46b925e3494ceee617%22	https://goicuocviettel.xyz/feed/	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/feed/index.html	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:50	116964/116964	---MCZ	200	added ('OK')	application/json	date:Fri,%2003%20Jan%202025%2006:49:34%20GMT	https://goicuocviettel.xyz/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/wp-json/wp/v2/pages/8.json	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:51	765/765	---M-Z	200	added ('OK')	application/rss+xml	etag:%2281e1713ccdb19d46b925e3494ceee617%22	https://goicuocviettel.xyz/comments/feed/	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/comments/feed/index.html	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:51	822/822	---M-Z	200	added ('OK')	text/xml	date:Fri,%2003%20Jan%202025%2006:49:35%20GMT	https://goicuocviettel.xyz/xmlrpc.php?rsd	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/xmlrpc0db0.php	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:51	1262082/1262082	---MCZ	200	added ('OK')	application/json	date:Fri,%2003%20Jan%202025%2006:49:35%20GMT	https://goicuocviettel.xyz/wp-json/	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/wp-json/index.html	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:51	2204/2204	---M-Z	200	added ('OK')	application/json	date:Fri,%2003%20Jan%202025%2006:49:35%20GMT	https://goicuocviettel.xyz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgoicuocviettel.xyz%2F	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/wp-json/oembed/1.0/embedff22.json	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:51	2378/2378	---M-Z	200	added ('OK')	text/xml	date:Fri,%2003%20Jan%202025%2006:49:35%20GMT	https://goicuocviettel.xyz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgoicuocviettel.xyz%2F&format=xml	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/wp-json/oembed/1.0/embedba1a	(from https://goicuocviettel.xyz/?gad_source=1)
13:49:52	1858/1858	---M--	200	added ('OK')	image/png	etag:%22742-67346090-9796a1;;;%22	https://goicuocviettel.xyz/wp-content/uploads/2024/10/cropped-bieutuong-32x32.png	C:/My%20Web%20Sites/Abc/goicuocviettel.xyz/wp-content/uploads/2024/10/cropped-bieutuong-32x32.png	(from https://goicuocviettel.xyz/?gad_source=1)
